region_id,name,country_id
2393,Сычуань,2374
2396,Фуцзянь,2374
2398,Хубэй,2374
2401,Хунань,2374
2404,Хэбэй,2374
2406,Хэйлунцзян,2374
2408,Хэнань,2374
2411,Цзилинь,2374
2414,Цзянси,2374
2416,Цзянсу,2374
2419,Чжэцзян,2374
2424,Шанхай,2374
2426,Шаньдун,2374
2428,Шаньси,2374
6453632,Korea,582040
11566007,Южная Корея,582040
2431,Alajuela,2430
2433,Guanacaste,2430
2435,Heredia,2430
2437,Limon,2430
2439,Puntarenas,2430
2441,San Jose,2430
2483267,Гавана,582077
2444,al-Jahra,2443
2446,al-Kuwayt,2443
2449,Латвия,2448
2505921,Бейрут,2505884
2494137,Бейрут,582060
2510,Tarabulus,2509
2512,Бенгази,2509
2515,Литва,2514
2615,Люксембург,2614
3663676,Скопье,582041
277564,Малайзия,277563
6460443,Мальта,582043
2618,Агуаскальентес,2617
2620,Веракрус,2617
2639,Герреро,2617
2646,Гуанахуато,2617
2656,Дуранго,2617
2661,Идальго,2617
2666,Кампече,2617
2670,Керетаро,2617
2668,Керетаро,2617
2672,Коауила,2617
2679,Колима,2617
2683,Мехико,2617
2690,Мичоакан,2617
2700,Морелос,2617
2704,Наярит,2617
2709,Нижняя Калифорния,2617
2713,Нуэво-Леон,2617
2717,Оахака,2617
2725,Пуэбла,2617
2730,Сакатекас,2617
2735,Сан-Луис-Потоси,2617
2741,Синалоа,2617
2746,Сонора,2617
2755,Табаско,2617
2759,Тамаулипас,2617
2766,Федеральный округ,2617
2768,Халиско,2617
2778,Чиуауа,2617
2780,Чьяпас,2617
2786,Юкатан,2617
6128697,Мозамбик,582082
2789,Молдова,2788
2834,Монако,2833
2687732,Улан-батор,2687701
4042477,Морокко,582065
4119771,Танжер,582065
277552,Нидерланды,277551
2838,Auckland,2837
2841,Bay of Plenty,2837
2844,Canterbury,2837
2847,Gisborne,2837
2849,Hawke`s Bay,2837
2852,Manawatu-Wanganui,2837
2855,Marlborough,2837
2857,Nelson,2837
2859,Northland,2837
2861,Otago,2837
2863,Southland,2837
2866,Taranaki,2837
2869,Tasman,2837
2871,Waikato,2837
2874,Wellington,2837
2878,West Coast,2837
2881,Бускеруд,2880
2883,Вестагдер,2880
1924623,Нордланд,2880
2885,Нурлан,2880
2887,Осло,2880
2577870,Ромсдал,2880
2889,Ругаланн,2880
2891,Сёр-Трённелаг,2880
2893,Телемарк,2880
2895,Хуралан,2880
2316780,Дубаи,582051
1930798,Остров Мэн,582105
7593366,Пакистан,582044
5556213,Перу,582046
2898,Dolnoslaskie,2897
2919,Kujawsko-Pomorskie,2897
2929,Lubuskie,2897
2937,Malopolskie,2897
2958,Mazowieckie,2897
2983,Podkarpackie,2897
2994,Podlaskie,2897
3003,Pomorskie,2897
3018,Slaskie,2897
3049,Swietokrzyskie,2897
3056,Warminsko-Mazurskie,2897
3068,Wielkopolskie,2897
3090,Zachodnio-Pomorskie,2897
3101,Лодзинское,2897
3118,Люблинское,2897
3133,Опольское,2897
277664,Польша,2897
3142,Centro,3141
3144,O-ва Мадейра,3141
3146,Лисабон,3141
3150,Орта,3141
2284951,Фаро,3141
3157,Saint-Denis,3156
277556,Румыния,277555
5682,Айдахо,5681
5694,Айова,5681
5752,Алабама,5681
5924,Аляска,5681
5927,Аризона,5681
5983,Арканзас,5681
6098,Вайоминг,5681
6103,Вашингтон,5681
6167,Вермонт,5681
6176,Виргиния,5681
6242,Висконсин,5681
6266,Гаваи,5681
6280,Делавар,5681
6291,Джорджия,5681
6352,Западная Виргиния,5681
6367,Иллинойс,5681
6520,Индиана,5681
6591,Калифорния,5681
6864,Канзас,5681
6917,Кентукки,5681
6973,Колорадо,5681
7015,Коннектикут,5681
7055,Луизиана,5681
7120,Массачусетс,5681
7228,Миннесота,5681
7288,Миссисипи,5681
7411,Миссури,5681
7493,Мичиган,5681
7598,Монтана,5681
7613,Мэн,5681
7641,Мэриленд,5681
7691,Небраска,5681
7714,Невада,5681
7733,Нью-Гэмпшир,5681
7744,Нью-Джерси,5681
7859,Нью-Йорк,5681
8089,Нью-Мексико,5681
8145,Огайо,5681
8439,Оклахома,5681
8483,Орегон,5681
8516,Пенсильвания,5681
8751,Род-Айленд,5681
277672,США,5681
8760,Северная Дакота,5681
8768,Северная Каролина,5681
8856,Теннесси,5681
9047,Техас,5681
9185,Флорида,5681
9477,Южная Дакота,5681
9489,Южная Каролина,5681
9515,Юта,5681
8479,окр.Колумбия,5681
5648,Ahuachapan,5647
5650,Cuscatlan,5647
5652,La Libertad,5647
5654,La Paz,5647
5656,La Union,5647
5658,San Miguel,5647
5660,San Salvador,5647
5662,Santa Ana,5647
5664,Sonsonate,5647
277566,Сингапур,277565
1923301,Дамаск,582067
5667,Trnavsky,5666
5669,Братислава,5666
5671,Жилина,5666
5674,Osrednjeslovenska,5673
5676,Podravska,5673
277671,Словения,5673
5679,Paramaribo,5678
9576,Горно-Бадахшанская обл.,9575
9589,Кулябская обл.,9575
9596,Курган-Тюбинская обл.,9575
9605,Согдийская обл.,9575
9627,Таджикистан,9575
277568,Тайвань,277567
6128546,Тайланд,582050
5640862,Tunisia,582090
9639,Ашхабадская обл.,9638
9653,Красноводская обл.,9638
9670,Марыйская обл.,9638
9682,Ташаузская обл.,9638
9685,Чарджоуская обл.,9638
277570,Туркмения,277569
9702,Grand Turk,9701
9706,Bartin,9705
9708,Bayburt,9705
9710,Karabuk,9705
9712,Адана,9705
9714,Айдын,9705
9716,Амасья,9705
9718,Анкара,9705
9720,Анталья,9705
9722,Артвин,9705
9724,Афьон,9705
9726,Балыкесир,9705
9728,Биледжик,9705
9730,Бурса,9705
9732,Газиантеп,9705
9734,Денизли,9705
9736,Измир,9705
9738,Испарта,9705
9740,Ичель,9705
9742,Кайсери,9705
9744,Карс,9705
9746,Коджаэли,9705
9749,Конья,9705
9751,Кыркларели,9705
9753,Кютахья,9705
9755,Малатья,9705
9757,Маниса,9705
9759,Сакарья,9705
9761,Самсун,9705
9763,Сивас,9705
9765,Стамбул,9705
9767,Трабзон,9705
9770,Чорум,9705
9772,Эдирне,9705
9774,Элязыг,9705
9776,Эрзинджан,9705
9778,Эрзурум,9705
9780,Эскишехир,9705
9783,Jinja,9782
9785,Kampala,9782
9788,Андижанская обл.,9787
9796,Бухарская обл.,9787
9806,Джизакская обл.,9787
9813,Каракалпакия,9787
